t 	 H 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
225.200000 	 0.009529 	 3.083767 	 49579.360925 	 46884.853777 	 3.375826
225.400000 	 0.009576 	 3.083767 	 49771.340404 	 46884.853777 	 3.375826
225.600000 	 0.009622 	 3.083767 	 49964.179456 	 46884.853777 	 3.375826
225.800000 	 0.009669 	 3.083767 	 50157.799449 	 46884.853777 	 3.375826
226.000000 	 0.009716 	 3.062748 	 50351.204209 	 46884.853777 	 3.354367
226.200000 	 0.009760 	 3.062748 	 50528.157226 	 47988.132588 	 3.353956
226.400000 	 0.009804 	 3.062748 	 50706.474701 	 47988.132588 	 3.353956
226.600000 	 0.009848 	 3.062748 	 50886.036037 	 47988.132588 	 3.353956
226.800000 	 0.009892 	 3.062748 	 51066.728661 	 47988.132588 	 3.353956
227.000000 	 0.009936 	 3.040272 	 51247.442323 	 47988.132588 	 3.331009
227.200000 	 0.009978 	 3.040272 	 51410.465665 	 49032.547991 	 3.330621
227.400000 	 0.010020 	 3.040272 	 51575.190560 	 49032.547991 	 3.330621
227.600000 	 0.010061 	 3.040272 	 51741.466139 	 49032.547991 	 3.330621
227.800000 	 0.010103 	 3.040272 	 51909.151742 	 49032.547991 	 3.330621
228.000000 	 0.010145 	 3.016981 	 52077.055890 	 49032.547991 	 3.306843
228.200000 	 0.010184 	 3.016981 	 52226.478531 	 50013.891990 	 3.306479
228.400000 	 0.010223 	 3.016981 	 52377.860524 	 50013.891990 	 3.306479
228.600000 	 0.010263 	 3.016981 	 52531.026821 	 50013.891990 	 3.306479
228.800000 	 0.010302 	 3.016981 	 52685.814321 	 50013.891990 	 3.306479
229.000000 	 0.010341 	 2.993414 	 52840.979898 	 50013.891990 	 3.282420
229.200000 	 0.010378 	 2.993414 	 52977.266455 	 50930.020005 	 3.282081
229.400000 	 0.010415 	 2.993414 	 53115.696730 	 50930.020005 	 3.282081
229.600000 	 0.010452 	 2.993414 	 53256.077233 	 50930.020005 	 3.282081
229.800000 	 0.010489 	 2.993414 	 53398.227742 	 50930.020005 	 3.282081
230.000000 	 0.010526 	 2.970017 	 53540.879760 	 50930.020005 	 3.258196
230.200000 	 0.010561 	 2.970017 	 53664.597872 	 51780.231638 	 3.257882
230.400000 	 0.010596 	 2.970017 	 53790.577225 	 51780.231638 	 3.257882
230.600000 	 0.010631 	 2.970017 	 53918.611182 	 51780.231638 	 3.257882
230.800000 	 0.010666 	 2.970017 	 54048.507315 	 51780.231638 	 3.257882
231.000000 	 0.010700 	 2.947153 	 54178.994754 	 51780.231638 	 3.234541
